Tenure Months,Monthly Charges,Total Charges,CLTV,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Actual,Churn_Probability,Risk_Level,Recommended_Action
3,75.0,209.1,3190,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.7878521985399365,High Risk,Immediate retention offer
22,79.35,1730.35,4718,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7633992548130005,High Risk,Immediate retention offer
9,68.25,576.95,4366,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,0,0.36171767482677103,Low Risk,Maintain relationship
71,25.55,1898.1,6305,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.021589960364005737,Low Risk,Maintain relationship
70,19.2,1401.4,5261,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0,0.023523525843776944,Low Risk,Maintain relationship
4,64.4,253.0,3334,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,0,0.5476930602851199,Medium Risk,Engagement campaign
1,49.3,49.3,4209,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,0.7186687369390762,High Risk,Immediate retention offer
48,103.25,5037.55,4736,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,1,0.4304849841333983,Medium Risk,Engagement campaign
4,19.95,59.25,3172,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.23355147295423112,Low Risk,Maintain relationship
38,74.95,2869.85,5165,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.6383582746713166,High Risk,Immediate retention offer
7,23.5,173.0,5508,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.1750455583220564,Low Risk,Maintain relationship
55,55.25,3119.9,5821,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0,0.022756213664724148,Low Risk,Maintain relationship
49,59.6,2970.3,4986,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0.07190012740876275,Low Risk,Maintain relationship
62,103.75,6383.35,5052,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,1,0.516723356413031,Medium Risk,Engagement campaign
48,58.95,2789.7,4815,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0.2542720914925981,Low Risk,Maintain relationship
1,69.1,69.1,5795,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.9270201297480046,High Risk,Immediate retention offer
1,19.75,19.75,4441,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.6658606628843698,High Risk,Immediate retention offer
66,63.3,4189.7,4186,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,0,0.05091327190094344,Low Risk,Maintain relationship
1,70.45,70.45,3964,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.6817591427084985,High Risk,Immediate retention offer
3,90.4,268.45,5625,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0,0.7700753285613287,High Risk,Immediate retention offer
29,55.25,1620.2,5481,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0,0.21408226132462416,Low Risk,Maintain relationship
61,62.15,3778.85,6427,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0,0.03295510038521267,Low Risk,Maintain relationship
1,20.6,20.6,3618,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1,0.47028875528040665,Medium Risk,Engagement campaign
11,45.2,492.0,5253,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.4915776407686659,Medium Risk,Engagement campaign
44,61.5,2722.2,2059,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,0,0.21140669621778244,Low Risk,Maintain relationship
48,19.25,855.1,2282,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.03820615650194717,Low Risk,Maintain relationship
67,111.2,7530.8,6060,True,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0,0.09048681729064369,Low Risk,Maintain relationship
71,97.65,6687.85,5319,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,0,0.3266244084451724,Low Risk,Maintain relationship
53,19.85,1049.6,6338,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.09857702465465333,Low Risk,Maintain relationship
49,109.2,5290.45,6005,True,False,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,0,0.19182696041939087,Low Risk,Maintain relationship
64,70.15,4480.7,5037,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,0,0.1685298735565834,Low Risk,Maintain relationship
59,80.1,4693.2,4093,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,0,0.29220439305229456,Low Risk,Maintain relationship
70,86.45,5950.2,5950,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0.037355230725148104,Low Risk,Maintain relationship
48,65.65,3094.65,5427,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,0,0.25625252099452533,Low Risk,Maintain relationship
2,50.3,92.75,5870,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.6965656363363049,High Risk,Immediate retention offer
34,20.1,682.1,2272,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0.032286207885412796,Low Risk,Maintain relationship
52,106.5,5621.85,4499,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0,0.5819809085656074,Medium Risk,Engagement campaign
8,80.65,633.3,5302,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1,0.46401975179188065,Medium Risk,Engagement campaign
23,91.1,2198.3,5991,False,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.04744781192988568,Low Risk,Maintain relationship
23,34.6,813.45,4445,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,0,0.08763916594278102,Low Risk,Maintain relationship
1,49.8,49.8,2978,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.6679614115705607,High Risk,Immediate retention offer
9,75.85,647.5,4843,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,0.4586800842594758,Medium Risk,Engagement campaign
56,19.8,1119.9,4681,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0,0.007678923339571319,Low Risk,Maintain relationship
6,74.9,469.8,4160,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.8358793778377727,High Risk,Immediate retention offer
25,35.05,844.45,2754,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,0.10724317232286491,Low Risk,Maintain relationship
25,54.3,1296.8,3971,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0.23053265327565245,Low Risk,Maintain relationship
21,73.7,1558.7,2071,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.744238242052926,High Risk,Immediate retention offer
72,105.5,7611.55,5534,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,0,0.15446644418142233,Low Risk,Maintain relationship
43,24.25,1077.95,4432,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.008489861800224669,Low Risk,Maintain relationship
11,51.0,581.7,5777,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.17845754444586093,Low Risk,Maintain relationship
57,19.4,1061.6,4194,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0,0.05081505878532288,Low Risk,Maintain relationship
23,20.3,470.6,3630,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,0,0.06256481272201031,Low Risk,Maintain relationship
72,24.3,1643.25,5160,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.00043497455370334004,Low Risk,Maintain relationship
44,50.15,2139.1,5790,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.24002213606011225,Low Risk,Maintain relationship
72,25.55,1867.7,6425,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.0,Low Risk,Maintain relationship
1,74.25,74.25,4750,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.908406798641155,High Risk,Immediate retention offer
56,45.05,2560.1,5795,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0,0.03199656971887947,Low Risk,Maintain relationship
34,79.6,2718.3,3980,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.6113192688034836,High Risk,Immediate retention offer
69,24.6,1678.05,5294,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.031008976852394753,Low Risk,Maintain relationship
27,75.5,1893.95,2377,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7241824241005169,High Risk,Immediate retention offer
10,98.9,1064.95,4614,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0,0.5997620527630698,Medium Risk,Engagement campaign
39,41.15,1700.9,3445,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0,0.10613508659421889,Low Risk,Maintain relationship
72,89.85,6562.9,6046,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0.051278006241761806,Low Risk,Maintain relationship
48,44.8,2104.55,2469,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.3996244349443405,Low Risk,Maintain relationship
24,20.75,487.05,4117,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.014481603663340122,Low Risk,Maintain relationship
27,19.15,537.35,4004,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.03845360985869006,Low Risk,Maintain relationship
34,67.65,2339.3,4263,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0,0.08509987411042175,Low Risk,Maintain relationship
26,91.25,2351.8,5154,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7360313864659864,High Risk,Immediate retention offer
46,70.6,3231.05,5433,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,0,0.12204746487187494,Low Risk,Maintain relationship
71,19.85,1326.35,6342,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.007256620882747394,Low Risk,Maintain relationship
43,75.35,3161.4,4898,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.5764430052454911,Medium Risk,Engagement campaign
10,55.2,528.35,5925,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1,0.3410774235657432,Low Risk,Maintain relationship
1,70.25,70.25,4063,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.9213718344187711,High Risk,Immediate retention offer
28,96.6,2684.35,5530,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0,0.5130582018265661,Medium Risk,Engagement campaign
24,60.45,1440.75,5095,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.19505255705439228,Low Risk,Maintain relationship
11,84.8,906.85,5118,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1,0.7904681041840688,High Risk,Immediate retention offer
20,19.7,419.4,2120,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0,0.061662069857042485,Low Risk,Maintain relationship
58,100.4,5749.8,4005,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,0,0.5591361310480237,Medium Risk,Engagement campaign
57,74.35,4317.35,5548,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0,0.06348773782673377,Low Risk,Maintain relationship
70,113.65,7714.65,6146,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0,0.20274876048748827,Low Risk,Maintain relationship
72,65.65,4664.5,4934,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0,0.0006112678267112482,Low Risk,Maintain relationship
46,99.8,4391.25,2405,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0,0.28110264886029046,Low Risk,Maintain relationship
8,68.55,564.35,3123,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0,0.3172175755284804,Low Risk,Maintain relationship
72,84.5,6130.85,6202,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,0,0.025093982482102577,Low Risk,Maintain relationship
4,57.2,223.75,2421,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,0,0.2869167932288098,Low Risk,Maintain relationship
8,54.4,475.1,4854,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.4026288143314884,Medium Risk,Engagement campaign
43,104.3,4451.85,3927,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False,0,0.10428784201361835,Low Risk,Maintain relationship
20,49.6,939.8,3235,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0,0.3276854114585426,Low Risk,Maintain relationship
34,64.4,2088.75,5189,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,1,0.102091717607884,Low Risk,Maintain relationship
2,54.35,117.05,4916,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0,0.706941711851186,High Risk,Immediate retention offer
20,89.0,1820.45,4594,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,1,0.6531404992353594,High Risk,Immediate retention offer
1,71.1,71.1,3029,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.8871768481380725,High Risk,Immediate retention offer
14,75.1,1013.35,3771,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.823293518239806,High Risk,Immediate retention offer
47,106.4,5127.95,4804,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.6885900734325066,High Risk,Immediate retention offer
1,20.25,20.25,5854,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.6536951710368296,High Risk,Immediate retention offer
22,87.0,1850.65,5233,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0.6232389736876179,High Risk,Immediate retention offer
46,20.2,917.45,3136,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0,0.0015731715094381763,Low Risk,Maintain relationship
72,97.75,6991.6,4054,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,0,0.044335419902622276,Low Risk,Maintain relationship
23,40.1,857.75,2327,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,0,0.08570195851612088,Low Risk,Maintain relationship
1,89.55,89.55,4996,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.9294533249179515,High Risk,Immediate retention offer
37,91.15,3369.25,3194,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.6339771904180265,High Risk,Immediate retention offer
72,19.8,1468.75,5368,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0,0.005484959816452155,Low Risk,Maintain relationship
72,84.45,5899.85,5856,True,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,0,0.08135952096473596,Low Risk,Maintain relationship
32,74.4,2276.95,2091,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6711964157117488,High Risk,Immediate retention offer
35,26.2,954.9,4419,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0,0.1395352673228377,Low Risk,Maintain relationship
14,18.8,255.55,5751,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.024536310030807612,Low Risk,Maintain relationship
56,103.2,5744.35,4534,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0,0.2273009246815844,Low Risk,Maintain relationship
49,100.45,4941.8,4235,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,1,0.41209356488568877,Medium Risk,Engagement campaign
37,76.5,2868.15,2793,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.14938890486349388,Low Risk,Maintain relationship
1,25.0,25.0,2371,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.28511884014246186,Low Risk,Maintain relationship
6,82.85,460.25,4458,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,0.8749121853963238,High Risk,Immediate retention offer
68,82.85,5776.45,5184,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,0,0.0030955707488101746,Low Risk,Maintain relationship
71,54.5,3778.2,4957,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,0.04851865666982528,Low Risk,Maintain relationship
42,54.5,2301.15,3449,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.09381696047505096,Low Risk,Maintain relationship
30,19.7,599.25,5045,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.00694951486115864,Low Risk,Maintain relationship
1,24.8,24.8,4851,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.8430605538177385,High Risk,Immediate retention offer
71,85.45,6029.9,5394,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0,0.00282889870081383,Low Risk,Maintain relationship
1,50.75,50.75,5355,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7434003199583323,High Risk,Immediate retention offer
72,84.2,5986.55,5598,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0,0.009225883118225354,Low Risk,Maintain relationship
16,19.05,326.65,4336,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0,0.08392227792750266,Low Risk,Maintain relationship
1,78.8,78.8,5075,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,0.9114872570929974,High Risk,Immediate retention offer
4,75.65,302.35,5396,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.8651959182163739,High Risk,Immediate retention offer
46,89.15,4245.55,5593,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0,0.5079659915864037,Medium Risk,Engagement campaign
11,20.45,237.3,2642,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,0.16341307538957786,Low Risk,Maintain relationship
72,24.75,1777.6,5398,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.007040018477859313,Low Risk,Maintain relationship
72,109.65,7880.25,6181,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,0,0.08744120357138119,Low Risk,Maintain relationship
22,100.05,2090.25,3274,True,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,0,0.1536325427015576,Low Risk,Maintain relationship
